License/Kind/GeoStudio,Feature GUID,Description,Is Connect,Tag
3348,865A582C-D04E-45B8-84E0-C55DD160670C,3DAnalysis-Method-Dynamic,Yes,update
3348,FF2530BD-BB1D-4E1D-90F8-3F4C0DF19D69,3DAnalysis-Method-Load,Yes,update
3348,FDC9E33F-4D3A-410C-8981-30EAE91FCAC3,3DAnalysis-Method-StressRedist,Yes,update
3348,69804689-6782-4740-B307-1A82E0E8B500,3DAnalysis-Method-Insitu,Yes,update
3348,30976E57-B8E3-4535-A6F4-58134F17054C,3DAnalysis-Method-Insitu2,Yes,update
3348,AD501C33-E8FC-4AAD-94A0-1941F5720CDE,3DAnalysis-Method-Convective,Yes,update
3348,F358236A-389F-45C0-9996-83D70EA46903,3DAnalysis-Method-NonLinearDynamic,Yes,update
3348,A5DE94A8-A995-4185-A68A-E9822AAA555D,3DAnalysis-Method-Static,Yes,update
3348,1673AEB6-55D4-462A-8C8F-51E64DF03CAB,3DAnalysis-SlopeSlipShape-Ellipsoid,Yes,update
3348,00865E27-ED0E-4127-9A90-E4428819CBEE,3DAnalysis-SlopeSlipShape-Sphere,Yes,update
3348,3DD523D8-AED1-4DEF-A293-9CFBC6001432,2DAnalysis-Reinforcement-Maccaferri,Yes,update
3348,DC19CAAF-12F5-4840-8F51-526C54DBC624,2DAnalysis-Reinforcement-Huesker,Yes,update
3348,0D2246F6-A35F-4F12-A330-7FF0732F07E9,2DAnalysis-Reinforcement-TenCate,Yes,update
3348,D7C8C642-E632-41D4-9984-1691E1D5E340,2DAnalysis-Reinforcement-Tensar,Yes,update
3348,979924AC-64EA-400B-80D5-DBAB0CC469D5,2DAnalysis-Matl-Stress-MateriaIfUnsaturated,Yes,update
3348,A54894AB-260B-4884-881E-B1523F6B0577,2DAnalysis-Matl-Stress-AnisotropyStrengthFunction,Yes,update
3348,48C08460-6035-4FBE-98EC-33EB33705939,2DAnalysis-Slope-Matl-Bbar-ExcludeIfUnsaturated,Yes,update
3348,806FE765-0EB2-4BFF-B0CC-4C2FD996F318,2DAnalysis-Slope-Matl-Ru-ExcludeIfUnsaturated,Yes,update
3348,3CEEBC7A-0123-4AE9-90CD-688AF9A89DA1,3DAnalysis-Slope-SamplingSettings-Probabilistic,Yes,update
3348,4E6CF46F-1E99-400D-8960-0CBA4D9BA893,3DAnalysis-Slope-SamplingSettings-Sensitivity,Yes,update
3348,8D806FA9-FFCE-4AF2-A35B-018C6AC356D0,2DAnalysis/ContextMenu/DefineMaterials,Yes,update
3348,E4FBA6FB-7F4D-4E80-BF22-836DB24438BF,2DAnalysis/ContextMenu/DefineReinforcements,Yes,update
3348,8FE0C96B-FE1B-45E0-85B3-23B1D6E50AD5,2DAnalysis/ContextMenu/DefineBoundaryConditions,Yes,update
3348,7BE60955-8607-4A1E-80F2-05D1DC096BC2,2DAnalysis/ContextMenu/AssignReinforcement,Yes,update
3348,246A083C-3865-4196-B36A-DE252921939C,2DAnalysis/ContextMenu/RemoveReinforcement,Yes,update
3348,B2DE98B2-634F-4F68-BD13-DA59CE2ACFE6,2DAnalysis/ContextMenu/AssignBoundaryCondition,Yes,update
3348,32C5D2CD-FA5D-4CE4-92FD-965925F1EB97,2DAnalysis/ContextMenu/RemoveBoundaryCondition,Yes,update
3348,9EF56677-DADD-4332-90A8-8FB931D86BAA,2DAnalysis/ContextMenu/AssignImperviousBoundary,Yes,update
3348,E0465EDF-FF41-47FD-A324-36E24E0591EA,2DAnalysis/ContextMenu/RemoveImperviousBoundary,Yes,update
3348,0F242BAB-F4F3-4BEA-BD3B-1BC7EF941296,2DAnalysis-Slope-SamplingSettings-Probabilistic,Yes,update
3348,EAD5B73B-4E23-423A-8D6B-8C4EABC095E7,2DAnalysis-Slope-SamplingSettings-Sensitivity,Yes,update
3348,41999529-FA0A-4AF2-A234-471EE82EA0E0,2DAnalysis-Slope-ColumnForce,Yes,update
3348,C51A212B-6E54-4A14-BD2B-0A5128517D77,License/Kind/Air,Yes,update
3348,3AC3B143-2F3D-41FF-A139-6398E2E76FFD,License/Kind/Ctran,Yes,update
3348,8283EB1E-567E-4C69-BCF6-CF3260258CAF,License/Kind/Quake,Yes,update
3348,5EBF81A7-7C5A-4624-B14B-14EAF9C01B94,License/Kind/Seep,Yes,update
3348,18761B5F-F412-40A9-8CA6-5CAA9BED259D,License/Kind/Sigma,Yes,update
3348,6533B3A1-D94B-4371-83E0-63A1A7C3D7BB,License/Kind/Slope,Yes,update
3348,B1599335-2F40-499F-B8F0-BCF8A6D0CBBE,License/Kind/Temp,Yes,update
3348,17B5D658-0BF0-4DB3-8E1D-9A6AC8522806,Analysis-Kind-Air,Yes,update
3348,3CA54347-64B8-43DC-81DF-834D7D70E8B3,Analysis-Kind-Ctran,Yes,update
3348,FD7E5D4F-5C4C-4A77-A236-C1D83F68A7EC,Analysis-Kind-Quake,Yes,update
3348,D30FBB1F-CE76-42F2-8619-303D3E9BB3AA,Analysis-Kind-Seep,Yes,update
3348,415CB07D-1F9E-4872-AF27-2B4012971910,Analysis-Kind-Sigma,Yes,update
3348,0D3F3619-7D3D-4D57-96C9-C6D214A3D821,Analysis-Kind-Slope,Yes,update
3348,98250DB6-2377-4A9E-886E-C0F5A71612A7,Analysis-Kind-Temp,Yes,update
